NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 74001001;ABONDANCE;46.284500;6.734167;947;20230101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;20230102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;20230103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;20230104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;20230105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;20230106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;20230107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;20230108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;20230109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;20230110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
